42.33145048629876,-8.742886662507773,Lapamán
42.74323653302907,-8.894436838600088,Portosin
42.0747481545117,-8.880766153106379,Oia
41.92834136636834,-7.674773096841819,Baltar
41.97315999575153,-8.649046898281087,Cerdal
42.728819337264646, -8.930154584802509,Iroite
42.073037724526564, -8.827657304932162,Groba
42.1337492270993, -8.413302024552989,Sanomedio
42.522142108213025, -8.371955732950727,Cerdedo
42.62242838109592, -7.891836284230683,Faro
42.47237856019022, -7.2305443389868795,Quiroga
42.314141471469114, -7.6115560865718646,Rodicio




